name,model 1 (large_vox_iter5.pt),model 2 (checkpoint_best.pt),delta_l2,baseline_l2,updated_l2,relative_delta,cosine_similarity,max_abs_delta,numel,dtype,shape,message
encoder.layers.18.self_attn.k_proj.bias,encoder.layers.18.self_attn.k_proj.bias,av_romanizer.w2v_model.encoder.layers.18.self_attn.k_proj.bias,0.01991218943370498,0.21117375808958017,0.20563355879051742,0.09429291600359835,0.9957880663435111,0.004223823547363281,1024,torch.float32,"(1024,)",
encoder.layers.18.self_attn.k_proj.weight,encoder.layers.18.self_attn.k_proj.weight,av_romanizer.w2v_model.encoder.layers.18.self_attn.k_proj.weight,28.323814932482687,133.9706643014013,129.22386572226569,0.2114180375247003,0.9774810227972313,0.19873046875,1048576,torch.float32,"(1024, 1024)",
encoder.layers.18.self_attn.out_proj.bias,encoder.layers.18.self_attn.out_proj.bias,av_romanizer.w2v_model.encoder.layers.18.self_attn.out_proj.bias,0.32100037796843306,5.65778722773902,5.490283326866488,0.05673602860048027,0.9987930329306532,0.03857421875,1024,torch.float32,"(1024,)",
encoder.layers.18.self_attn.out_proj.weight,encoder.layers.18.self_attn.out_proj.weight,av_romanizer.w2v_model.encoder.layers.18.self_attn.out_proj.weight,30.907315814475915,168.69917399948736,160.71736246581366,0.18320964520294472,0.9835585034034299,0.16650390625,1048576,torch.float32,"(1024, 1024)",
encoder.layers.18.self_attn.q_proj.bias,encoder.layers.18.self_attn.q_proj.bias,av_romanizer.w2v_model.encoder.layers.18.self_attn.q_proj.bias,0.8536321069431408,8.666971392697267,8.38015478993433,0.09849254927302582,0.9955499173206852,0.134765625,1024,torch.float32,"(1024,)",
encoder.layers.18.self_attn.q_proj.weight,encoder.layers.18.self_attn.q_proj.weight,av_romanizer.w2v_model.encoder.layers.18.self_attn.q_proj.weight,28.000098060950798,131.6567231715397,126.92680716379444,0.21267503387934533,0.9772112984830572,0.172119140625,1048576,torch.float32,"(1024, 1024)",
encoder.layers.18.self_attn.v_proj.bias,encoder.layers.18.self_attn.v_proj.bias,av_romanizer.w2v_model.encoder.layers.18.self_attn.v_proj.bias,0.29003722091778283,2.5315096482619377,2.4250400603940645,0.1145708534498038,0.9940718626468035,0.038818359375,1024,torch.float32,"(1024,)",
encoder.layers.18.self_attn.v_proj.weight,encoder.layers.18.self_attn.v_proj.weight,av_romanizer.w2v_model.encoder.layers.18.self_attn.v_proj.weight,27.274735561895284,171.11077982435273,163.07818669005144,0.15939811384118013,0.987826511618256,0.158721923828125,1048576,torch.float32,"(1024, 1024)",
encoder.layers.18.self_attn_layer_norm.bias,encoder.layers.18.self_attn_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.18.self_attn_layer_norm.bias,0.26077345785867234,1.4576786605681114,1.4547986126721515,0.17889639528443071,0.9839683166940711,0.03802490234375,1024,torch.float32,"(1024,)",
encoder.layers.18.self_attn_layer_norm.weight,encoder.layers.18.self_attn_layer_norm.weight,av_romanizer.w2v_model.encoder.layers.18.self_attn_layer_norm.weight,0.5084463207969141,8.254149790647082,8.174780890152507,0.061598872529917414,0.9981310485228378,0.050537109375,1024,torch.float32,"(1024,)",
