name,llama (Llama-3.2-3B),lora (checkpoint_best.pt),delta_l2,baseline_l2,updated_l2,relative_delta,cosine_similarity,max_abs_delta,delta_l1,delta_density,numel,dtype,shape,lora_rank,lora_alpha,lora_scale,lora_up,lora_down,message
model.layers.21.self_attn.o_proj.weight,model.layers.21.self_attn.o_proj.weight,llama.model.layers.21.self_attn.o_proj,6.009519851556905,54.26935833372534,54.594185138929284,0.11073504526443476,0.993923160361788,0.022860541939735413,14074.672085311495,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.21.self_attn.o_proj.lora_B.default.weight,llama.model.layers.21.self_attn.o_proj.lora_A.default.weight,
model.layers.27.self_attn.q_proj.weight,model.layers.27.self_attn.q_proj.weight,llama.model.layers.27.self_attn.q_proj,5.8230100252377595,66.78590702380356,67.03311414985596,0.0871892033024624,0.9962198640363285,0.021404694765806198,13208.17956529124,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.27.self_attn.q_proj.lora_B.default.weight,llama.model.layers.27.self_attn.q_proj.lora_A.default.weight,
model.layers.21.self_attn.q_proj.weight,model.layers.21.self_attn.q_proj.weight,llama.model.layers.21.self_attn.q_proj,5.759168217211382,71.72729239052967,71.95646340091727,0.0802925640334331,0.9967919061591114,0.02243754267692566,13098.499176736346,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.21.self_attn.q_proj.lora_B.default.weight,llama.model.layers.21.self_attn.q_proj.lora_A.default.weight,
model.layers.26.self_attn.q_proj.weight,model.layers.26.self_attn.q_proj.weight,llama.model.layers.26.self_attn.q_proj,5.719072485512278,66.34595201907048,66.57623531087549,0.08620077505057713,0.9963035670506726,0.019805939868092537,13129.888019683736,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.26.self_attn.q_proj.lora_B.default.weight,llama.model.layers.26.self_attn.q_proj.lora_A.default.weight,
model.layers.23.self_attn.q_proj.weight,model.layers.23.self_attn.q_proj.weight,llama.model.layers.23.self_attn.q_proj,5.681035062057536,71.0603143697049,71.2843219744266,0.07994666379465847,0.9968192609874381,0.023805614560842514,12889.454342458084,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.23.self_attn.q_proj.lora_B.default.weight,llama.model.layers.23.self_attn.q_proj.lora_A.default.weight,
model.layers.24.self_attn.q_proj.weight,model.layers.24.self_attn.q_proj.weight,llama.model.layers.24.self_attn.q_proj,5.675032120905395,69.34720198118967,69.57821360457956,0.08183505547123213,0.9966681595353878,0.021107448264956474,13075.686279095808,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.24.self_attn.q_proj.lora_B.default.weight,llama.model.layers.24.self_attn.q_proj.lora_A.default.weight,
model.layers.25.self_attn.q_proj.weight,model.layers.25.self_attn.q_proj.weight,llama.model.layers.25.self_attn.q_proj,5.659790686743909,68.94766867231894,69.17703360691029,0.08208820973545401,0.9966474489918573,0.01884465292096138,13060.624977754018,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.25.self_attn.q_proj.lora_B.default.weight,llama.model.layers.25.self_attn.q_proj.lora_A.default.weight,
model.layers.15.self_attn.q_proj.weight,model.layers.15.self_attn.q_proj.weight,llama.model.layers.15.self_attn.q_proj,5.6431201007493,77.22293568809503,77.43089546513401,0.07307570024975447,0.9973407583686017,0.024653468281030655,12761.864893833568,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.15.self_attn.q_proj.lora_B.default.weight,llama.model.layers.15.self_attn.q_proj.lora_A.default.weight,
model.layers.22.self_attn.q_proj.weight,model.layers.22.self_attn.q_proj.weight,llama.model.layers.22.self_attn.q_proj,5.514968421871692,71.07422976697639,71.28370032864537,0.07759448734025032,0.9970027243813134,0.023924196138978004,12483.26970491189,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.22.self_attn.q_proj.lora_B.default.weight,llama.model.layers.22.self_attn.q_proj.lora_A.default.weight,
model.layers.18.self_attn.o_proj.weight,model.layers.18.self_attn.o_proj.weight,llama.model.layers.18.self_attn.o_proj,5.500655939518285,47.94758688704561,48.25480432571594,0.11472226855705311,0.9934816928172178,0.01571948267519474,12933.060927670282,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.18.self_attn.o_proj.lora_B.default.weight,llama.model.layers.18.self_attn.o_proj.lora_A.default.weight,
